datetime(kst),location,state1,state2,count
2020-03-01 16:00:00,강원,확진,격리중,15
2020-03-01 16:00:00,강원,확진,격리해제,0
2020-03-01 16:00:00,강원,확진,사망,0
2020-03-01 16:00:00,강원,검사현황,검사중,836
2020-03-01 16:00:00,강원,검사현황,결과음성,2416
2020-03-01 16:00:00,충북,확진,격리중,11
2020-03-01 16:00:00,충북,확진,격리해제,0
2020-03-01 16:00:00,충북,확진,사망,0
2020-03-01 16:00:00,충북,검사현황,검사중,644
2020-03-01 16:00:00,충북,검사현황,결과음성,2473
2020-03-01 16:00:00,충남,확진,격리중,68
2020-03-01 16:00:00,충남,확진,격리해제,0
2020-03-01 16:00:00,충남,확진,사망,0
2020-03-01 16:00:00,충남,검사현황,검사중,2154
2020-03-01 16:00:00,충남,검사현황,결과음성,2047
2020-03-01 16:00:00,전북,확진,격리중,5
2020-03-01 16:00:00,전북,확진,격리해제,1
2020-03-01 16:00:00,전북,확진,사망,0
2020-03-01 16:00:00,전북,검사현황,검사중,356
2020-03-01 16:00:00,전북,검사현황,결과음성,1190
2020-03-01 16:00:00,전남,확진,격리중,2
2020-03-01 16:00:00,전남,확진,격리해제,1
2020-03-01 16:00:00,전남,확진,사망,0
2020-03-01 16:00:00,전남,검사현황,검사중,984
2020-03-01 16:00:00,전남,검사현황,결과음성,1695
2020-03-01 16:00:00,경북,확진,격리중,547
2020-03-01 16:00:00,경북,확진,격리해제,0
2020-03-01 16:00:00,경북,확진,사망,8
2020-03-01 16:00:00,경북,검사현황,검사중,5087
2020-03-01 16:00:00,경북,검사현황,결과음성,4975
2020-03-01 16:00:00,경남,확진,격리중,63
2020-03-01 16:00:00,경남,확진,격리해제,0
2020-03-01 16:00:00,경남,확진,사망,0
2020-03-01 16:00:00,경남,검사현황,검사중,1074
2020-03-01 16:00:00,경남,검사현황,결과음성,2899
2020-03-01 16:00:00,제주,확진,격리중,2
2020-03-01 16:00:00,제주,확진,격리해제,0
2020-03-01 16:00:00,제주,확진,사망,0
2020-03-01 16:00:00,제주,검사현황,검사중,47
2020-03-01 16:00:00,제주,검사현황,결과음성,740
2020-03-01 16:00:00,검역,확진,격리중,0
2020-03-01 16:00:00,검역,확진,격리해제,0
2020-03-01 16:00:00,검역,확진,사망,0
2020-03-01 16:00:00,검역,검사현황,검사중,0
2020-03-01 16:00:00,검역,검사현황,결과음성,550
